Species,Species_name,Code_ExpOp_GFS,Landclass_ExpOp_GFS,Flor_P1_b,Flor_p2_b,Flor_P3_b,Nest_per_ha,Total_score
1,GroundNestingBumblebees,1,Afforestation,7.851851852,7.851851852,7.851851852,9.990125185,235.322948806662
1,GroundNestingBumblebees,2,"Beaches, Sand Dunes/Plane",11.09090909,11.09090909,11.09090909,6.669231923,221.903534874357
1,GroundNestingBumblebees,3,Coniferous Woodland,3.882352941,3.882352941,3.882352941,7.085162516,82.5213045943667
1,GroundNestingBumblebees,4,Deciduous woodland,12,12,12,11.86421258,427.11165288
1,GroundNestingBumblebees,5,Ditches,11.04761905,11.04761905,11.04761905,12.72767897,421.831645953769
1,GroundNestingBumblebees,6,Fallow,12.13793103,12.13793103,12.13793103,10.73428757,390.876126542539
1,GroundNestingBumblebees,7,Gardens,17.62162162,17.62162162,17.62162162,14.93166925,789.360677035468
1,GroundNestingBumblebees,8,Golf Courses,8.592592593,8.592592593,8.592592593,8.503909517,219.211889781949
1,GroundNestingBumblebees,9,Grass and Legume Ley,17.18518519,17.18518519,17.18518519,7.3213346,377.455472816864
1,GroundNestingBumblebees,10,Grass Ley,5.043478261,5.043478261,5.043478261,6.1653344,93.2841900545864
1,GroundNestingBumblebees,11,Grassy Field Edges,12.625,12.625,12.625,14.96000259,566.61009809625
1,GroundNestingBumblebees,12,Hedgerows,17.14285714,17.14285714,17.14285714,15.84148422,814.704902607073
1,GroundNestingBumblebees,13,Improved Meadow,7.555555556,7.555555556,7.555555556,7.376382229,167.197997200502
1,GroundNestingBumblebees,14,Improved Permanent Grassland,4.588235294,4.588235294,4.588235294,4.6240008,63.6480110101327
1,GroundNestingBumblebees,15,Moorland,14.75,14.75,14.75,9.908573143,438.45436157775
1,GroundNestingBumblebees,16,Organic Ley,13.8,13.8,13.8,6.972699619,288.6697642266
1,GroundNestingBumblebees,17,Poplar,11.2,11.2,11.2,4.6240008,155.36642688
1,GroundNestingBumblebees,18,Salix,17.03225806,17.03225806,17.03225806,4.656111917,237.912299179756
1,GroundNestingBumblebees,19,Salt Marsh,9.5,9.5,9.5,1.926667,54.9100095
1,GroundNestingBumblebees,20,Scrub,15.31034483,15.31034483,15.31034483,12.7160022,584.059135623116
1,GroundNestingBumblebees,21,Unimproved Meadow,15.89473684,15.89473684,15.89473684,12.77104983,608.97742865513
1,GroundNestingBumblebees,22,Unimproved Permanent Grassland,14.11111111,14.11111111,14.11111111,10.45904943,442.766425835137
1,GroundNestingBumblebees,23,Wetlands,10.46153846,10.46153846,10.46153846,4.587302381,143.970720859443
1,GroundNestingBumblebees,24,Woodland Edges,15.31428571,15.31428571,15.31428571,15.19926189,698.297517493724
1,GroundNestingBumblebees,25,Other1 (please state),18.85714286,18.85714286,18.85714286,17.51515455,990.857314692987
1,GroundNestingBumblebees,26,Other2 (please state),16,16,16,11.560002,554.880096
1,GroundNestingBumblebees,27,Berries (exc. Strawberries & Raspberries),15.51515152,15.51515152,15.51515152,5.955152545,277.185282181166
1,GroundNestingBumblebees,28,Broad/Field Beans,16.82051282,16.82051282,16.82051282,5.266223133,265.741721164821
1,GroundNestingBumblebees,29,Buckwheat,1.230769231,1.230769231,1.230769231,1.926667,7.11384738594923
1,GroundNestingBumblebees,30,Cereal,1.023255814,1.023255814,1.023255814,2.711605407,8.32399799395976
1,GroundNestingBumblebees,31,Linseed/Flax,11.69230769,11.69230769,11.69230769,4.306667412,151.0646414988
1,GroundNestingBumblebees,32,Maize,2.857142857,2.857142857,2.857142857,0.917460476,7.86394693674966
